[ 2023-07-30 11:43:53,569 ] 224 werkzeug - WARNING -  * Debugger is active!
[ 2023-07-30 11:43:53,569 ] 224 werkzeug - INFO -  * Debugger PIN: 117-428-366
[ 2023-07-30 11:43:53,596 ] 224 werkzeug - INFO -  * Detected change in 'd:\\IMP Folder\\1 On Goning Project\\Campus Placement Prediction\\ProjectOnging\\venv\\Lib\\tkinter\\test\\test_tkinter\\test_geometry_managers.py', reloading
[ 2023-07-30 11:43:53,613 ] 224 werkzeug - INFO -  * Detected change in 'd:\\IMP Folder\\1 On Goning Project\\Campus Placement Prediction\\ProjectOnging\\venv\\Lib\\tkinter\\test\\test_tkinter\\test_images.py', reloading
[ 2023-07-30 11:43:53,628 ] 224 werkzeug - INFO -  * Detected change in 'd:\\IMP Folder\\1 On Goning Project\\Campus Placement Prediction\\ProjectOnging\\venv\\Lib\\tkinter\\test\\test_tkinter\\test_loadtk.py', reloading
[ 2023-07-30 11:43:53,628 ] 224 werkzeug - INFO -  * Detected change in 'd:\\IMP Folder\\1 On Goning Project\\Campus Placement Prediction\\ProjectOnging\\venv\\Lib\\tkinter\\test\\test_tkinter\\test_messagebox.py', reloading
[ 2023-07-30 11:43:53,644 ] 224 werkzeug - INFO -  * Detected change in 'd:\\IMP Folder\\1 On Goning Project\\Campus Placement Prediction\\ProjectOnging\\venv\\Lib\\tkinter\\test\\test_tkinter\\test_misc.py', reloading
[ 2023-07-30 11:43:53,659 ] 224 werkzeug - INFO -  * Detected change in 'd:\\IMP Folder\\1 On Goning Project\\Campus Placement Prediction\\ProjectOnging\\venv\\Lib\\tkinter\\test\\test_tkinter\\test_simpledialog.py', reloading
[ 2023-07-30 11:43:53,675 ] 224 werkzeug - INFO -  * Detected change in 'd:\\IMP Folder\\1 On Goning Project\\Campus Placement Prediction\\ProjectOnging\\venv\\Lib\\tkinter\\test\\test_tkinter\\test_text.py', reloading
[ 2023-07-30 11:43:53,691 ] 224 werkzeug - INFO -  * Detected change in 'd:\\IMP Folder\\1 On Goning Project\\Campus Placement Prediction\\ProjectOnging\\venv\\Lib\\tkinter\\test\\test_tkinter\\test_variables.py', reloading
[ 2023-07-30 11:43:53,706 ] 224 werkzeug - INFO -  * Detected change in 'd:\\IMP Folder\\1 On Goning Project\\Campus Placement Prediction\\ProjectOnging\\venv\\Lib\\tkinter\\test\\test_tkinter\\test_widgets.py', reloading
