[ 2023-07-30 12:43:34,024 ] 224 werkzeug - WARNING -  * Debugger is active!
[ 2023-07-30 12:43:34,024 ] 224 werkzeug - INFO -  * Debugger PIN: 117-428-366
[ 2023-07-30 12:44:00,038 ] 77 root - INFO - Data Frame Gathered
[ 2023-07-30 12:44:00,116 ] 224 werkzeug - INFO - 127.0.0.1 - - [30/Jul/2023 12:44:00] "POST / HTTP/1.1" 200 -
[ 2023-07-30 12:44:14,905 ] 77 root - INFO - Data Frame Gathered
[ 2023-07-30 12:44:14,916 ] 224 werkzeug - INFO - 127.0.0.1 - - [30/Jul/2023 12:44:14] "POST / HTTP/1.1" 200 -
[ 2023-07-30 12:44:23,110 ] 77 root - INFO - Data Frame Gathered
[ 2023-07-30 12:44:23,122 ] 224 werkzeug - INFO - 127.0.0.1 - - [30/Jul/2023 12:44:23] "POST / HTTP/1.1" 200 -
[ 2023-07-30 12:44:34,071 ] 224 werkzeug - INFO -  * Detected change in 'C:\\Users\\papal\\anaconda3\\Lib\\site-packages\\scipy\\sparse\\_dok.py', reloading
[ 2023-07-30 12:44:34,071 ] 224 werkzeug - INFO -  * Detected change in 'C:\\Users\\papal\\anaconda3\\Lib\\site-packages\\scipy\\sparse\\_coo.py', reloading
[ 2023-07-30 12:44:34,071 ] 224 werkzeug - INFO -  * Detected change in 'C:\\Users\\papal\\anaconda3\\Lib\\site-packages\\scipy\\sparse\\_dia.py', reloading
[ 2023-07-30 12:44:34,071 ] 224 werkzeug - INFO -  * Detected change in 'C:\\Users\\papal\\anaconda3\\Lib\\site-packages\\scipy\\sparse\\_bsr.py', reloading
[ 2023-07-30 12:44:34,086 ] 224 werkzeug - INFO -  * Detected change in 'C:\\Users\\papal\\anaconda3\\Lib\\site-packages\\scipy\\sparse\\_construct.py', reloading
[ 2023-07-30 12:44:34,086 ] 224 werkzeug - INFO -  * Detected change in 'C:\\Users\\papal\\anaconda3\\Lib\\site-packages\\scipy\\sparse\\_extract.py', reloading
[ 2023-07-30 12:44:34,086 ] 224 werkzeug - INFO -  * Detected change in 'C:\\Users\\papal\\anaconda3\\Lib\\site-packages\\scipy\\sparse\\_matrix_io.py', reloading
[ 2023-07-30 12:44:34,086 ] 224 werkzeug - INFO -  * Detected change in 'C:\\Users\\papal\\anaconda3\\Lib\\site-packages\\scipy\\spatial\\__init__.py', reloading
[ 2023-07-30 12:44:34,086 ] 224 werkzeug - INFO -  * Detected change in 'C:\\Users\\papal\\anaconda3\\Lib\\site-packages\\scipy\\spatial\\_kdtree.py', reloading
[ 2023-07-30 12:44:34,086 ] 224 werkzeug - INFO -  * Detected change in 'C:\\Users\\papal\\anaconda3\\Lib\\site-packages\\scipy\\spatial\\_plotutils.py', reloading
